State,Year,Year,Consumption
Karnataka,2014,"Financial Year (Apr - Mar), 2014",55166.0
Kerala,2014,"Financial Year (Apr - Mar), 2014",18786.0
Tamil Nadu,2014,"Financial Year (Apr - Mar), 2014",77618.0
Puducherry,2014,"Financial Year (Apr - Mar), 2014",2441.0
Lakshadweep,2014,"Financial Year (Apr - Mar), 2014",45.0
Bihar,2014,"Financial Year (Apr - Mar), 2014",9807.0
Jharkhand,2014,"Financial Year (Apr - Mar), 2014",16533.0
Odisha,2014,"Financial Year (Apr - Mar), 2014",15440.0
West Bengal,2014,"Financial Year (Apr - Mar), 2014",39059.0
Sikkim,2014,"Financial Year (Apr - Mar), 2014",405.0
Andaman & Nicobar Islands,2014,"Financial Year (Apr - Mar), 2014",229.0
Arunachal Pradesh,2014,"Financial Year (Apr - Mar), 2014",543.0
Assam,2014,"Financial Year (Apr - Mar), 2014",5484.0
Manipur,2014,"Financial Year (Apr - Mar), 2014",465.0
Meghalaya,2014,"Financial Year (Apr - Mar), 2014",1233.0
Mizoram,2014,"Financial Year (Apr - Mar), 2014",327.0
Nagaland,2014,"Financial Year (Apr - Mar), 2014",529.0
Tripura,2014,"Financial Year (Apr - Mar), 2014",786.0
Chandigarh,2015,"Financial Year (Apr - Mar), 2015",1497.0
Delhi,2015,"Financial Year (Apr - Mar), 2015",25658.0
Haryana,2015,"Financial Year (Apr - Mar), 2015",35092.0
Himachal Pradesh,2015,"Financial Year (Apr - Mar), 2015",7958.0
Jammu & Kashmir,2015,"Financial Year (Apr - Mar), 2015",7144.0
Punjab,2015,"Financial Year (Apr - Mar), 2015",40843.0
Rajasthan,2015,"Financial Year (Apr - Mar), 2015",50359.0
Uttar Pradesh,2015,"Financial Year (Apr - Mar), 2015",70967.0
Uttarakhand,2015,"Financial Year (Apr - Mar), 2015",10298.0
Chhattisgarh,2015,"Financial Year (Apr - Mar), 2015",18887.0
Gujarat,2015,"Financial Year (Apr - Mar), 2015",77028.0
Madhya Pradesh,2015,"Financial Year (Apr - Mar), 2015",46384.0
Maharashtra,2015,"Financial Year (Apr - Mar), 2015",115356.0
Daman & Diu,2015,"Financial Year (Apr - Mar), 2015",1692.0
